result,table,_time,moisture
mean,0,2024-07-12 00:00:00+00:00,2608
mean,0,2024-07-13 00:00:00+00:00,2667
mean,0,2024-07-14 00:00:00+00:00,2736
mean,0,2024-07-15 00:00:00+00:00,2829
mean,0,2024-07-16 00:00:00+00:00,2961
mean,0,2024-07-17 00:00:00+00:00,2134
mean,0,2024-07-18 00:00:00+00:00,2241
mean,0,2024-07-19 00:00:00+00:00,2347
mean,0,2024-07-20 00:00:00+00:00,2438
mean,0,2024-07-21 00:00:00+00:00,2507
mean,0,2024-07-22 00:00:00+00:00,2601
mean,0,2024-07-23 00:00:00+00:00,2055
mean,0,2024-07-24 00:00:00+00:00,2160
mean,0,2024-07-25 00:00:00+00:00,2297
mean,0,2024-07-26 00:00:00+00:00,2416
mean,0,2024-07-27 00:00:00+00:00,2501
mean,0,2024-07-28 00:00:00+00:00,2553
mean,0,2024-07-29 00:00:00+00:00,2608
mean,0,2024-07-30 00:00:00+00:00,1971
mean,0,2024-07-31 00:00:00+00:00,2071
mean,0,2024-08-01 00:00:00+00:00,2151
mean,0,2024-08-02 00:00:00+00:00,2453
mean,0,2024-08-03 00:00:00+00:00,2419
mean,0,2024-08-04 00:00:00+00:00,2583
mean,0,2024-08-05 00:00:00+00:00,2559
mean,0,2024-08-06 00:00:00+00:00,2620
mean,0,2024-08-07 00:00:00+00:00,2064
mean,0,2024-08-08 00:00:00+00:00,2159
mean,0,2024-08-09 00:00:00+00:00,2304
mean,0,2024-08-10 00:00:00+00:00,2525
mean,0,2024-08-11 00:00:00+00:00,2559
mean,0,2024-08-12 00:00:00+00:00,2681
mean,0,2024-08-13 00:00:00+00:00,2063
mean,0,2024-08-14 00:00:00+00:00,2169
mean,0,2024-08-15 00:00:00+00:00,2251
mean,0,2024-08-16 00:00:00+00:00,2278
mean,0,2024-08-17 00:00:00+00:00,2336
mean,0,2024-08-18 00:00:00+00:00,2427
mean,0,2024-08-19 00:00:00+00:00,2497
mean,0,2024-08-20 00:00:00+00:00,2481
mean,0,2024-08-21 00:00:00+00:00,2518
mean,0,2024-08-22 00:00:00+00:00,2653
mean,0,2024-08-23 00:00:00+00:00,2720
mean,0,2024-08-24 00:00:00+00:00,2819
mean,0,2024-08-25 00:00:00+00:00,2954
mean,0,2024-08-26 00:00:00+00:00,3071
mean,0,2024-08-27 00:00:00+00:00,2406
mean,0,2024-08-28 00:00:00+00:00,2347
mean,0,2024-08-29 00:00:00+00:00,2431
mean,0,2024-08-30 00:00:00+00:00,2496
mean,0,2024-08-31 00:00:00+00:00,2559
mean,0,2024-09-01 00:00:00+00:00,2640
mean,0,2024-09-02 00:00:00+00:00,2694
mean,0,2024-09-03 00:00:00+00:00,2801
mean,0,2024-09-04 00:00:00+00:00,2035
mean,0,2024-09-05 00:00:00+00:00,2387
mean,0,2024-09-06 00:00:00+00:00,2415
mean,0,2024-09-07 00:00:00+00:00,2545
mean,0,2024-09-08 00:00:00+00:00,2709
mean,0,2024-09-09 00:00:00+00:00,2736
mean,0,2024-09-10 00:00:00+00:00,2701
mean,0,2024-09-11 00:00:00+00:00,2790
mean,0,2024-09-12 00:00:00+00:00,2086
mean,0,2024-09-13 00:00:00+00:00,2047
mean,0,2024-09-14 00:00:00+00:00,2109
mean,0,2024-09-15 00:00:00+00:00,2186
mean,0,2024-09-16 00:00:00+00:00,2266
mean,0,2024-09-17 00:00:00+00:00,2273
mean,0,2024-09-18 00:00:00+00:00,2288
mean,0,2024-09-19 00:00:00+00:00,2335
mean,0,2024-09-20 00:00:00+00:00,2415
mean,0,2024-09-21 00:00:00+00:00,2466
mean,0,2024-09-22 00:00:00+00:00,2513
mean,0,2024-09-23 00:00:00+00:00,2579
mean,0,2024-09-24 00:00:00+00:00,1963
mean,0,2024-09-25 00:00:00+00:00,1941
mean,0,2024-09-26 00:00:00+00:00,1946
mean,0,2024-09-27 00:00:00+00:00,1978
mean,0,2024-09-28 00:00:00+00:00,1998
mean,0,2024-09-29 00:00:00+00:00,2126
mean,0,2024-09-30 00:00:00+00:00,2107
mean,0,2024-10-01 00:00:00+00:00,2154
mean,0,2024-10-02 00:00:00+00:00,2224
mean,0,2024-10-03 00:00:00+00:00,2384
mean,0,2024-10-04 00:00:00+00:00,2436
mean,0,2024-10-05 00:00:00+00:00,2473
mean,0,2024-10-06 00:00:00+00:00,2659
mean,0,2024-10-07 00:00:00+00:00,2652
mean,0,2024-10-08 00:00:00+00:00,2547
mean,0,2024-10-09 00:00:00+00:00,2614
mean,0,2024-10-10 00:00:00+00:00,2757
mean,0,2024-10-11 00:00:00+00:00,2839
mean,0,2024-10-12 00:00:00+00:00,3007
mean,0,2024-10-13 00:00:00+00:00,3153
mean,0,2024-10-14 00:00:00+00:00,3314
mean,0,2024-10-15 00:00:00+00:00,2047
mean,0,2024-10-16 00:00:00+00:00,1989
mean,0,2024-10-17 00:00:00+00:00,2078
mean,0,2024-10-18 00:00:00+00:00,2000
mean,0,2024-10-19 00:00:00+00:00,2022
mean,0,2024-10-19 18:31:10.798530+00:00,2061
