result,table,_time,moisture
mean,0,2024-07-03 00:00:00+00:00,2029.0
mean,0,2024-07-04 00:00:00+00:00,2060.0
mean,0,2024-07-05 00:00:00+00:00,2119.0
mean,0,2024-07-06 00:00:00+00:00,2142.0
mean,0,2024-07-07 00:00:00+00:00,
mean,0,2024-07-08 00:00:00+00:00,
mean,0,2024-07-09 00:00:00+00:00,2432.0
mean,0,2024-07-10 00:00:00+00:00,2497.0
mean,0,2024-07-11 00:00:00+00:00,2539.0
mean,0,2024-07-12 00:00:00+00:00,2608.0
mean,0,2024-07-13 00:00:00+00:00,2667.0
mean,0,2024-07-14 00:00:00+00:00,2736.0
mean,0,2024-07-15 00:00:00+00:00,2829.0
mean,0,2024-07-16 00:00:00+00:00,2961.0
mean,0,2024-07-17 00:00:00+00:00,2134.0
mean,0,2024-07-18 00:00:00+00:00,2241.0
mean,0,2024-07-19 00:00:00+00:00,2347.0
mean,0,2024-07-20 00:00:00+00:00,2438.0
mean,0,2024-07-21 00:00:00+00:00,2507.0
mean,0,2024-07-22 00:00:00+00:00,2601.0
mean,0,2024-07-23 00:00:00+00:00,2055.0
mean,0,2024-07-24 00:00:00+00:00,2160.0
mean,0,2024-07-25 00:00:00+00:00,2297.0
mean,0,2024-07-26 00:00:00+00:00,2416.0
mean,0,2024-07-27 00:00:00+00:00,2501.0
mean,0,2024-07-28 00:00:00+00:00,2553.0
mean,0,2024-07-29 00:00:00+00:00,2608.0
mean,0,2024-07-30 00:00:00+00:00,1971.0
mean,0,2024-07-31 00:00:00+00:00,2071.0
mean,0,2024-08-01 00:00:00+00:00,2151.0
mean,0,2024-08-02 00:00:00+00:00,2453.0
mean,0,2024-08-03 00:00:00+00:00,2419.0
mean,0,2024-08-04 00:00:00+00:00,2583.0
mean,0,2024-08-05 00:00:00+00:00,2559.0
mean,0,2024-08-06 00:00:00+00:00,2620.0
mean,0,2024-08-07 00:00:00+00:00,2064.0
mean,0,2024-08-08 00:00:00+00:00,2159.0
mean,0,2024-08-09 00:00:00+00:00,2304.0
mean,0,2024-08-10 00:00:00+00:00,2525.0
mean,0,2024-08-11 00:00:00+00:00,2559.0
mean,0,2024-08-12 00:00:00+00:00,2681.0
mean,0,2024-08-13 00:00:00+00:00,2063.0
mean,0,2024-08-14 00:00:00+00:00,2169.0
mean,0,2024-08-15 00:00:00+00:00,2251.0
mean,0,2024-08-16 00:00:00+00:00,2278.0
mean,0,2024-08-17 00:00:00+00:00,2336.0
mean,0,2024-08-18 00:00:00+00:00,2427.0
mean,0,2024-08-19 00:00:00+00:00,2497.0
mean,0,2024-08-20 00:00:00+00:00,2481.0
mean,0,2024-08-21 00:00:00+00:00,2518.0
mean,0,2024-08-22 00:00:00+00:00,2653.0
mean,0,2024-08-23 00:00:00+00:00,2720.0
mean,0,2024-08-24 00:00:00+00:00,2819.0
mean,0,2024-08-25 00:00:00+00:00,2954.0
mean,0,2024-08-26 00:00:00+00:00,3071.0
mean,0,2024-08-27 00:00:00+00:00,2406.0
mean,0,2024-08-28 00:00:00+00:00,2347.0
mean,0,2024-08-29 00:00:00+00:00,2431.0
mean,0,2024-08-30 00:00:00+00:00,2496.0
mean,0,2024-08-31 00:00:00+00:00,2559.0
mean,0,2024-09-01 00:00:00+00:00,2640.0
mean,0,2024-09-02 00:00:00+00:00,2694.0
mean,0,2024-09-03 00:00:00+00:00,2801.0
mean,0,2024-09-04 00:00:00+00:00,2035.0
mean,0,2024-09-05 00:00:00+00:00,2387.0
mean,0,2024-09-06 00:00:00+00:00,2415.0
mean,0,2024-09-07 00:00:00+00:00,2545.0
mean,0,2024-09-08 00:00:00+00:00,2709.0
mean,0,2024-09-09 00:00:00+00:00,2736.0
mean,0,2024-09-10 00:00:00+00:00,2701.0
mean,0,2024-09-11 00:00:00+00:00,2790.0
mean,0,2024-09-12 00:00:00+00:00,2086.0
mean,0,2024-09-13 00:00:00+00:00,2047.0
mean,0,2024-09-14 00:00:00+00:00,2109.0
mean,0,2024-09-15 00:00:00+00:00,2186.0
mean,0,2024-09-16 00:00:00+00:00,2266.0
mean,0,2024-09-17 00:00:00+00:00,2273.0
mean,0,2024-09-18 00:00:00+00:00,2288.0
mean,0,2024-09-19 00:00:00+00:00,2335.0
mean,0,2024-09-20 00:00:00+00:00,2415.0
mean,0,2024-09-21 00:00:00+00:00,2466.0
mean,0,2024-09-22 00:00:00+00:00,2513.0
mean,0,2024-09-23 00:00:00+00:00,2579.0
