result,table,_time,moisture
mean,0,2024-06-29 14:10:00+00:00,2391.0
mean,0,2024-06-29 14:15:00+00:00,2399.0
mean,0,2024-06-29 14:20:00+00:00,2409.0
mean,0,2024-06-29 14:25:00+00:00,2410.0
mean,0,2024-06-29 14:30:00+00:00,2406.0
mean,0,2024-06-29 14:35:00+00:00,2403.0
mean,0,2024-06-29 14:40:00+00:00,2411.0
mean,0,2024-06-29 14:45:00+00:00,2420.0
mean,0,2024-06-29 14:50:00+00:00,2410.0
mean,0,2024-06-29 14:55:00+00:00,2412.0
mean,0,2024-06-29 15:00:00+00:00,2411.0
mean,0,2024-06-29 15:05:00+00:00,2406.0
mean,0,2024-06-29 15:10:00+00:00,2419.0
mean,0,2024-06-29 15:15:00+00:00,2414.0
mean,0,2024-06-29 15:20:00+00:00,2413.0
mean,0,2024-06-29 15:25:00+00:00,2416.0
mean,0,2024-06-29 15:30:00+00:00,2419.0
mean,0,2024-06-29 15:35:00+00:00,2405.0
mean,0,2024-06-29 15:40:00+00:00,2411.0
mean,0,2024-06-29 15:45:00+00:00,2416.0
mean,0,2024-06-29 15:50:00+00:00,2426.0
mean,0,2024-06-29 15:55:00+00:00,2416.0
mean,0,2024-06-29 16:00:00+00:00,2416.0
mean,0,2024-06-29 16:05:00+00:00,2419.0
mean,0,2024-06-29 16:10:00+00:00,2416.0
mean,0,2024-06-29 16:15:00+00:00,2416.0
mean,0,2024-06-29 16:20:00+00:00,2416.0
mean,0,2024-06-29 16:25:00+00:00,2436.0
mean,0,2024-06-29 16:30:00+00:00,2421.0
mean,0,2024-06-29 16:35:00+00:00,2421.0
mean,0,2024-06-29 16:40:00+00:00,2427.0
mean,0,2024-06-29 16:45:00+00:00,2416.0
mean,0,2024-06-29 16:50:00+00:00,2416.0
mean,0,2024-06-29 16:55:00+00:00,2404.0
mean,0,2024-06-29 17:00:00+00:00,2439.0
mean,0,2024-06-29 17:05:00+00:00,2434.0
mean,0,2024-06-29 17:10:00+00:00,2419.0
mean,0,2024-06-29 17:15:00+00:00,2422.0
mean,0,2024-06-29 17:20:00+00:00,2425.0
mean,0,2024-06-29 17:25:00+00:00,2416.0
mean,0,2024-06-29 17:30:00+00:00,2420.0
mean,0,2024-06-29 17:35:00+00:00,2427.0
mean,0,2024-06-29 17:40:00+00:00,2416.0
mean,0,2024-06-29 17:45:00+00:00,2431.0
mean,0,2024-06-29 17:50:00+00:00,2415.0
mean,0,2024-06-29 17:55:00+00:00,2431.0
mean,0,2024-06-29 18:00:00+00:00,2418.0
mean,0,2024-06-29 18:05:00+00:00,2427.0
mean,0,2024-06-29 18:10:00+00:00,2419.0
mean,0,2024-06-29 18:15:00+00:00,2426.0
mean,0,2024-06-29 18:20:00+00:00,2431.0
mean,0,2024-06-29 18:25:00+00:00,2416.0
mean,0,2024-06-29 18:30:00+00:00,2433.0
mean,0,2024-06-29 18:35:00+00:00,2421.0
mean,0,2024-06-29 18:40:00+00:00,2416.0
mean,0,2024-06-29 18:45:00+00:00,2423.0
mean,0,2024-06-29 18:50:00+00:00,2421.0
mean,0,2024-06-29 18:55:00+00:00,2433.0
mean,0,2024-06-29 19:00:00+00:00,2441.0
mean,0,2024-06-29 19:05:00+00:00,2426.0
mean,0,2024-06-29 19:10:00+00:00,2431.0
mean,0,2024-06-29 19:15:00+00:00,2425.0
mean,0,2024-06-29 19:20:00+00:00,2422.0
mean,0,2024-06-29 19:25:00+00:00,2423.0
mean,0,2024-06-29 19:30:00+00:00,2427.0
mean,0,2024-06-29 19:35:00+00:00,2421.0
mean,0,2024-06-29 19:40:00+00:00,2432.0
mean,0,2024-06-29 19:45:00+00:00,2432.0
mean,0,2024-06-29 19:50:00+00:00,2433.0
mean,0,2024-06-29 19:55:00+00:00,2425.0
mean,0,2024-06-29 20:00:00+00:00,2452.0
mean,0,2024-06-29 20:05:00+00:00,2438.0
mean,0,2024-06-29 20:10:00+00:00,2431.0
mean,0,2024-06-29 20:15:00+00:00,2430.0
mean,0,2024-06-29 20:20:00+00:00,2432.0
mean,0,2024-06-29 20:25:00+00:00,2432.0
mean,0,2024-06-29 20:30:00+00:00,2431.0
mean,0,2024-06-29 20:35:00+00:00,2454.0
