result,table,_time,moisture
mean,0,2024-06-29 14:00:00+00:00,2405.0
mean,0,2024-06-29 14:30:00+00:00,2406.0
mean,0,2024-06-29 15:00:00+00:00,2411.0
mean,0,2024-06-29 15:30:00+00:00,2419.0
mean,0,2024-06-29 16:00:00+00:00,2416.0
mean,0,2024-06-29 16:30:00+00:00,2421.0
mean,0,2024-06-29 17:00:00+00:00,2439.0
mean,0,2024-06-29 17:30:00+00:00,2420.0
mean,0,2024-06-29 18:00:00+00:00,2418.0
mean,0,2024-06-29 18:30:00+00:00,2433.0
mean,0,2024-06-29 19:00:00+00:00,2441.0
mean,0,2024-06-29 19:30:00+00:00,2427.0
mean,0,2024-06-29 20:00:00+00:00,2452.0
mean,0,2024-06-29 20:30:00+00:00,2431.0
mean,0,2024-06-29 21:00:00+00:00,2437.0
mean,0,2024-06-29 21:30:00+00:00,2437.0
mean,0,2024-06-29 22:00:00+00:00,2434.0
mean,0,2024-06-29 22:30:00+00:00,2438.0
mean,0,2024-06-29 23:00:00+00:00,2446.0
mean,0,2024-06-29 23:30:00+00:00,2442.0
mean,0,2024-06-30 00:00:00+00:00,2435.0
mean,0,2024-06-30 00:30:00+00:00,2443.0
mean,0,2024-06-30 01:00:00+00:00,2449.0
mean,0,2024-06-30 01:30:00+00:00,2448.0
mean,0,2024-06-30 02:00:00+00:00,2455.0
mean,0,2024-06-30 02:30:00+00:00,2455.0
mean,0,2024-06-30 03:00:00+00:00,2458.0
mean,0,2024-06-30 03:30:00+00:00,2461.0
mean,0,2024-06-30 04:00:00+00:00,2441.0
mean,0,2024-06-30 04:30:00+00:00,2450.0
mean,0,2024-06-30 05:00:00+00:00,2451.0
mean,0,2024-06-30 05:30:00+00:00,2450.0
mean,0,2024-06-30 06:00:00+00:00,2465.0
mean,0,2024-06-30 06:30:00+00:00,2480.0
mean,0,2024-06-30 07:00:00+00:00,2459.0
mean,0,2024-06-30 07:30:00+00:00,2468.0
mean,0,2024-06-30 08:00:00+00:00,2465.0
mean,0,2024-06-30 08:30:00+00:00,2461.0
mean,0,2024-06-30 09:00:00+00:00,2474.0
mean,0,2024-06-30 09:30:00+00:00,2476.0
mean,0,2024-06-30 10:00:00+00:00,2468.0
mean,0,2024-06-30 10:30:00+00:00,2480.0
mean,0,2024-06-30 11:00:00+00:00,2474.0
mean,0,2024-06-30 11:30:00+00:00,2499.0
mean,0,2024-06-30 12:00:00+00:00,2479.0
mean,0,2024-06-30 12:30:00+00:00,2480.0
mean,0,2024-06-30 13:00:00+00:00,2485.0
mean,0,2024-06-30 13:30:00+00:00,2479.0
mean,0,2024-06-30 14:00:00+00:00,2480.0
mean,0,2024-06-30 14:30:00+00:00,2482.0
mean,0,2024-06-30 15:00:00+00:00,2491.0
mean,0,2024-06-30 15:30:00+00:00,2482.0
mean,0,2024-06-30 16:00:00+00:00,2506.0
mean,0,2024-06-30 16:30:00+00:00,2486.0
mean,0,2024-06-30 17:00:00+00:00,2483.0
mean,0,2024-06-30 17:30:00+00:00,2495.0
mean,0,2024-06-30 18:00:00+00:00,2486.0
mean,0,2024-06-30 18:30:00+00:00,2498.0
mean,0,2024-06-30 19:00:00+00:00,2494.0
mean,0,2024-06-30 19:30:00+00:00,2492.0
mean,0,2024-06-30 20:00:00+00:00,2499.0
mean,0,2024-06-30 20:30:00+00:00,2494.0
mean,0,2024-06-30 21:00:00+00:00,2496.0
mean,0,2024-06-30 21:30:00+00:00,2496.0
mean,0,2024-06-30 22:00:00+00:00,2496.0
mean,0,2024-06-30 22:30:00+00:00,2503.0
mean,0,2024-06-30 23:00:00+00:00,2496.0
mean,0,2024-06-30 23:30:00+00:00,2503.0
mean,0,2024-07-01 00:00:00+00:00,2503.0
mean,0,2024-07-01 00:30:00+00:00,2512.0
mean,0,2024-07-01 01:00:00+00:00,2522.0
mean,0,2024-07-01 01:30:00+00:00,2508.0
mean,0,2024-07-01 02:00:00+00:00,2509.0
mean,0,2024-07-01 02:30:00+00:00,2518.0
mean,0,2024-07-01 03:00:00+00:00,2512.0
mean,0,2024-07-01 03:30:00+00:00,2518.0
mean,0,2024-07-01 04:00:00+00:00,2517.0
mean,0,2024-07-01 04:30:00+00:00,2528.0
mean,0,2024-07-01 05:00:00+00:00,2513.0
mean,0,2024-07-01 05:30:00+00:00,2512.0
mean,0,2024-07-01 06:00:00+00:00,2511.0
mean,0,2024-07-01 06:30:00+00:00,2517.0
mean,0,2024-07-01 07:00:00+00:00,2518.0
mean,0,2024-07-01 07:30:00+00:00,2513.0
mean,0,2024-07-01 08:00:00+00:00,2334.0
mean,0,2024-07-01 08:30:00+00:00,2527.0
mean,0,2024-07-01 09:00:00+00:00,2529.0
mean,0,2024-07-01 09:30:00+00:00,2534.0
mean,0,2024-07-01 10:00:00+00:00,2531.0
mean,0,2024-07-01 10:30:00+00:00,2529.0
mean,0,2024-07-01 11:00:00+00:00,2529.0
mean,0,2024-07-01 11:30:00+00:00,2558.0
mean,0,2024-07-01 12:00:00+00:00,2543.0
mean,0,2024-07-01 12:30:00+00:00,2559.0
mean,0,2024-07-01 13:00:00+00:00,2545.0
mean,0,2024-07-01 13:30:00+00:00,2541.0
mean,0,2024-07-01 14:00:00+00:00,2559.0
mean,0,2024-07-01 14:30:00+00:00,2557.0
mean,0,2024-07-01 15:00:00+00:00,2559.0
mean,0,2024-07-01 15:30:00+00:00,2559.0
mean,0,2024-07-01 16:00:00+00:00,2557.0
mean,0,2024-07-01 16:30:00+00:00,2557.0
mean,0,2024-07-01 17:00:00+00:00,2559.0
mean,0,2024-07-01 17:30:00+00:00,2558.0
mean,0,2024-07-01 18:00:00+00:00,2559.0
mean,0,2024-07-01 18:30:00+00:00,2586.0
mean,0,2024-07-01 19:00:00+00:00,2559.0
mean,0,2024-07-01 19:30:00+00:00,2592.0
mean,0,2024-07-01 20:00:00+00:00,2559.0
mean,0,2024-07-01 20:30:00+00:00,2559.0
mean,0,2024-07-01 21:00:00+00:00,2559.0
mean,0,2024-07-01 21:30:00+00:00,2559.0
mean,0,2024-07-01 22:00:00+00:00,2597.0
mean,0,2024-07-01 22:30:00+00:00,2582.0
