result,table,_time,moisture
mean,0,2024-06-29 16:00:00+00:00,2416.0
mean,0,2024-06-30 00:00:00+00:00,2435.0
mean,0,2024-06-30 08:00:00+00:00,2465.0
mean,0,2024-06-30 16:00:00+00:00,2506.0
mean,0,2024-07-01 00:00:00+00:00,2503.0
mean,0,2024-07-01 08:00:00+00:00,2334.0
mean,0,2024-07-01 16:00:00+00:00,2557.0
mean,0,2024-07-02 00:00:00+00:00,2581.0
mean,0,2024-07-02 08:00:00+00:00,2215.0
mean,0,2024-07-02 16:00:00+00:00,2062.0
mean,0,2024-07-03 00:00:00+00:00,2029.0
mean,0,2024-07-03 08:00:00+00:00,2031.0
mean,0,2024-07-03 16:00:00+00:00,2034.0
mean,0,2024-07-04 00:00:00+00:00,2060.0
mean,0,2024-07-04 08:00:00+00:00,2103.0
mean,0,2024-07-04 16:00:00+00:00,2111.0
mean,0,2024-07-05 00:00:00+00:00,2119.0
mean,0,2024-07-05 08:00:00+00:00,2141.0
mean,0,2024-07-05 16:00:00+00:00,2142.0
mean,0,2024-07-06 00:00:00+00:00,
mean,0,2024-07-06 08:00:00+00:00,
mean,0,2024-07-06 16:00:00+00:00,
mean,0,2024-07-07 00:00:00+00:00,
mean,0,2024-07-07 08:00:00+00:00,
mean,0,2024-07-07 16:00:00+00:00,
mean,0,2024-07-08 00:00:00+00:00,
mean,0,2024-07-08 08:00:00+00:00,2448.0
mean,0,2024-07-08 16:00:00+00:00,2418.0
mean,0,2024-07-09 00:00:00+00:00,2432.0
mean,0,2024-07-09 08:00:00+00:00,2438.0
mean,0,2024-07-09 16:00:00+00:00,2458.0
mean,0,2024-07-10 00:00:00+00:00,2497.0
mean,0,2024-07-10 08:00:00+00:00,2518.0
mean,0,2024-07-10 16:00:00+00:00,2541.0
mean,0,2024-07-11 00:00:00+00:00,2539.0
mean,0,2024-07-11 08:00:00+00:00,2586.0
mean,0,2024-07-11 16:00:00+00:00,2603.0
mean,0,2024-07-12 00:00:00+00:00,2608.0
mean,0,2024-07-12 08:00:00+00:00,2634.0
mean,0,2024-07-12 16:00:00+00:00,2649.0
mean,0,2024-07-13 00:00:00+00:00,2667.0
mean,0,2024-07-13 08:00:00+00:00,2683.0
mean,0,2024-07-13 16:00:00+00:00,2718.0
mean,0,2024-07-14 00:00:00+00:00,2736.0
mean,0,2024-07-14 08:00:00+00:00,2768.0
mean,0,2024-07-14 16:00:00+00:00,2797.0
mean,0,2024-07-15 00:00:00+00:00,2829.0
mean,0,2024-07-15 08:00:00+00:00,2867.0
mean,0,2024-07-15 16:00:00+00:00,2928.0
mean,0,2024-07-16 00:00:00+00:00,2961.0
mean,0,2024-07-16 08:00:00+00:00,2151.0
mean,0,2024-07-16 16:00:00+00:00,2126.0
mean,0,2024-07-17 00:00:00+00:00,2134.0
mean,0,2024-07-17 08:00:00+00:00,2165.0
mean,0,2024-07-17 16:00:00+00:00,2197.0
mean,0,2024-07-18 00:00:00+00:00,2241.0
mean,0,2024-07-18 08:00:00+00:00,2259.0
mean,0,2024-07-18 16:00:00+00:00,2323.0
mean,0,2024-07-19 00:00:00+00:00,2347.0
mean,0,2024-07-19 08:00:00+00:00,2381.0
mean,0,2024-07-19 16:00:00+00:00,2417.0
mean,0,2024-07-20 00:00:00+00:00,2438.0
mean,0,2024-07-20 08:00:00+00:00,2461.0
mean,0,2024-07-20 16:00:00+00:00,2494.0
mean,0,2024-07-21 00:00:00+00:00,2507.0
mean,0,2024-07-21 08:00:00+00:00,2535.0
mean,0,2024-07-21 16:00:00+00:00,2559.0
mean,0,2024-07-22 00:00:00+00:00,2601.0
mean,0,2024-07-22 08:00:00+00:00,2117.0
mean,0,2024-07-22 16:00:00+00:00,2021.0
mean,0,2024-07-23 00:00:00+00:00,2055.0
mean,0,2024-07-23 08:00:00+00:00,2067.0
mean,0,2024-07-23 16:00:00+00:00,2128.0
mean,0,2024-07-24 00:00:00+00:00,2160.0
mean,0,2024-07-24 08:00:00+00:00,2192.0
mean,0,2024-07-24 16:00:00+00:00,2234.0
mean,0,2024-07-25 00:00:00+00:00,2297.0
mean,0,2024-07-25 08:00:00+00:00,2311.0
mean,0,2024-07-25 16:00:00+00:00,2349.0
mean,0,2024-07-26 00:00:00+00:00,2416.0
mean,0,2024-07-26 08:00:00+00:00,2416.0
mean,0,2024-07-26 16:00:00+00:00,2457.0
mean,0,2024-07-27 00:00:00+00:00,2501.0
mean,0,2024-07-27 08:00:00+00:00,2497.0
mean,0,2024-07-27 16:00:00+00:00,2527.0
mean,0,2024-07-28 00:00:00+00:00,2553.0
mean,0,2024-07-28 08:00:00+00:00,2559.0
mean,0,2024-07-28 16:00:00+00:00,2594.0
mean,0,2024-07-29 00:00:00+00:00,2608.0
mean,0,2024-07-29 08:00:00+00:00,2023.0
mean,0,2024-07-29 16:00:00+00:00,1975.0
mean,0,2024-07-30 00:00:00+00:00,1971.0
mean,0,2024-07-30 08:00:00+00:00,1994.0
mean,0,2024-07-30 16:00:00+00:00,2031.0
mean,0,2024-07-31 00:00:00+00:00,2071.0
mean,0,2024-07-31 08:00:00+00:00,2112.0
mean,0,2024-07-31 16:00:00+00:00,2130.0
mean,0,2024-08-01 00:00:00+00:00,2151.0
mean,0,2024-08-01 08:00:00+00:00,2181.0
mean,0,2024-08-01 16:00:00+00:00,2326.0
mean,0,2024-08-02 00:00:00+00:00,2453.0
mean,0,2024-08-02 08:00:00+00:00,2400.0
mean,0,2024-08-02 16:00:00+00:00,2355.0
mean,0,2024-08-03 00:00:00+00:00,2419.0
mean,0,2024-08-03 08:00:00+00:00,2434.0
