result,table,_time,moisture
mean,0,2024-06-19 06:00:00+00:00,2294.0
mean,0,2024-06-19 08:00:00+00:00,2304.0
mean,0,2024-06-19 10:00:00+00:00,2319.0
mean,0,2024-06-19 12:00:00+00:00,2335.0
mean,0,2024-06-19 14:00:00+00:00,2339.0
mean,0,2024-06-19 16:00:00+00:00,2381.0
mean,0,2024-06-19 18:00:00+00:00,2394.0
mean,0,2024-06-19 20:00:00+00:00,2399.0
mean,0,2024-06-19 22:00:00+00:00,2480.0
mean,0,2024-06-20 00:00:00+00:00,2406.0
mean,0,2024-06-20 02:00:00+00:00,2419.0
mean,0,2024-06-20 04:00:00+00:00,2423.0
mean,0,2024-06-20 06:00:00+00:00,2481.0
mean,0,2024-06-20 08:00:00+00:00,2436.0
mean,0,2024-06-20 10:00:00+00:00,2423.0
mean,0,2024-06-20 12:00:00+00:00,2430.0
mean,0,2024-06-20 14:00:00+00:00,2447.0
mean,0,2024-06-20 16:00:00+00:00,2451.0
mean,0,2024-06-20 18:00:00+00:00,2459.0
mean,0,2024-06-20 20:00:00+00:00,2474.0
mean,0,2024-06-20 22:00:00+00:00,2480.0
mean,0,2024-06-21 00:00:00+00:00,2517.0
mean,0,2024-06-21 02:00:00+00:00,2496.0
mean,0,2024-06-21 04:00:00+00:00,2506.0
mean,0,2024-06-21 06:00:00+00:00,2496.0
mean,0,2024-06-21 08:00:00+00:00,2526.0
mean,0,2024-06-21 10:00:00+00:00,2512.0
mean,0,2024-06-21 12:00:00+00:00,2554.0
mean,0,2024-06-21 14:00:00+00:00,2559.0
mean,0,2024-06-21 16:00:00+00:00,2591.0
mean,0,2024-06-21 18:00:00+00:00,1954.0
mean,0,2024-06-21 20:00:00+00:00,1957.0
mean,0,2024-06-21 22:00:00+00:00,1974.0
mean,0,2024-06-22 00:00:00+00:00,1970.0
mean,0,2024-06-22 02:00:00+00:00,1972.0
mean,0,2024-06-22 04:00:00+00:00,1961.0
mean,0,2024-06-22 06:00:00+00:00,1988.0
mean,0,2024-06-22 08:00:00+00:00,1971.0
mean,0,2024-06-22 10:00:00+00:00,1945.0
mean,0,2024-06-22 12:00:00+00:00,1983.0
mean,0,2024-06-22 14:00:00+00:00,1965.0
mean,0,2024-06-22 16:00:00+00:00,1988.0
mean,0,2024-06-22 18:00:00+00:00,2032.0
mean,0,2024-06-22 20:00:00+00:00,1969.0
mean,0,2024-06-22 22:00:00+00:00,1971.0
mean,0,2024-06-23 00:00:00+00:00,1987.0
mean,0,2024-06-23 02:00:00+00:00,1952.0
mean,0,2024-06-23 04:00:00+00:00,1968.0
mean,0,2024-06-23 06:00:00+00:00,1962.0
