result,table,_time,moisture
mean,0,2024-07-22 08:00:00+00:00,2117.0
mean,0,2024-07-22 12:00:00+00:00,2030.0
mean,0,2024-07-22 16:00:00+00:00,2021.0
mean,0,2024-07-22 20:00:00+00:00,2032.0
mean,0,2024-07-23 00:00:00+00:00,2055.0
mean,0,2024-07-23 04:00:00+00:00,2068.0
mean,0,2024-07-23 08:00:00+00:00,2067.0
mean,0,2024-07-23 12:00:00+00:00,2113.0
mean,0,2024-07-23 16:00:00+00:00,2128.0
mean,0,2024-07-23 20:00:00+00:00,2147.0
mean,0,2024-07-24 00:00:00+00:00,2160.0
mean,0,2024-07-24 04:00:00+00:00,2163.0
mean,0,2024-07-24 08:00:00+00:00,2192.0
mean,0,2024-07-24 12:00:00+00:00,2210.0
mean,0,2024-07-24 16:00:00+00:00,2234.0
mean,0,2024-07-24 20:00:00+00:00,2259.0
mean,0,2024-07-25 00:00:00+00:00,2297.0
mean,0,2024-07-25 04:00:00+00:00,2287.0
mean,0,2024-07-25 08:00:00+00:00,2311.0
mean,0,2024-07-25 12:00:00+00:00,2330.0
mean,0,2024-07-25 16:00:00+00:00,2349.0
mean,0,2024-07-25 20:00:00+00:00,2368.0
mean,0,2024-07-26 00:00:00+00:00,2416.0
mean,0,2024-07-26 04:00:00+00:00,2397.0
mean,0,2024-07-26 08:00:00+00:00,2416.0
mean,0,2024-07-26 12:00:00+00:00,2432.0
mean,0,2024-07-26 16:00:00+00:00,2457.0
mean,0,2024-07-26 20:00:00+00:00,2475.0
mean,0,2024-07-27 00:00:00+00:00,2501.0
mean,0,2024-07-27 04:00:00+00:00,2501.0
mean,0,2024-07-27 08:00:00+00:00,2497.0
mean,0,2024-07-27 12:00:00+00:00,2519.0
mean,0,2024-07-27 16:00:00+00:00,2527.0
mean,0,2024-07-27 20:00:00+00:00,2543.0
mean,0,2024-07-28 00:00:00+00:00,2553.0
mean,0,2024-07-28 04:00:00+00:00,2559.0
mean,0,2024-07-28 08:00:00+00:00,2559.0
mean,0,2024-07-28 12:00:00+00:00,2620.0
mean,0,2024-07-28 16:00:00+00:00,2594.0
mean,0,2024-07-28 20:00:00+00:00,2599.0
mean,0,2024-07-29 00:00:00+00:00,2608.0
mean,0,2024-07-29 04:00:00+00:00,2610.0
mean,0,2024-07-29 08:00:00+00:00,2023.0
mean,0,2024-07-22 08:00:00+00:00,2117.0
mean,0,2024-07-22 12:00:00+00:00,2030.0
mean,0,2024-07-22 16:00:00+00:00,2021.0
mean,0,2024-07-22 20:00:00+00:00,2032.0
mean,0,2024-07-23 00:00:00+00:00,2055.0
mean,0,2024-07-23 04:00:00+00:00,2068.0
mean,0,2024-07-23 08:00:00+00:00,2067.0
mean,0,2024-07-23 12:00:00+00:00,2113.0
mean,0,2024-07-23 16:00:00+00:00,2128.0
mean,0,2024-07-23 20:00:00+00:00,2147.0
mean,0,2024-07-24 00:00:00+00:00,2160.0
mean,0,2024-07-24 04:00:00+00:00,2163.0
mean,0,2024-07-24 08:00:00+00:00,2192.0
mean,0,2024-07-24 12:00:00+00:00,2210.0
mean,0,2024-07-24 16:00:00+00:00,2234.0
mean,0,2024-07-24 20:00:00+00:00,2259.0
mean,0,2024-07-25 00:00:00+00:00,2297.0
mean,0,2024-07-25 04:00:00+00:00,2287.0
mean,0,2024-07-25 08:00:00+00:00,2311.0
mean,0,2024-07-25 12:00:00+00:00,2330.0
mean,0,2024-07-25 16:00:00+00:00,2349.0
mean,0,2024-07-25 20:00:00+00:00,2368.0
mean,0,2024-07-26 00:00:00+00:00,2416.0
mean,0,2024-07-26 04:00:00+00:00,2397.0
mean,0,2024-07-26 08:00:00+00:00,2416.0
mean,0,2024-07-26 12:00:00+00:00,2432.0
mean,0,2024-07-26 16:00:00+00:00,2457.0
