result,table,_time,moisture
mean,0,2024-07-27 18:00:00+00:00,2555
mean,0,2024-07-28 00:00:00+00:00,2553
mean,0,2024-07-28 06:00:00+00:00,2559
mean,0,2024-07-28 12:00:00+00:00,2620
mean,0,2024-07-28 18:00:00+00:00,2591
mean,0,2024-07-29 00:00:00+00:00,2608
mean,0,2024-07-29 06:00:00+00:00,2617
mean,0,2024-07-29 12:00:00+00:00,1984
mean,0,2024-07-29 18:00:00+00:00,1978
mean,0,2024-07-30 00:00:00+00:00,1971
mean,0,2024-07-30 06:00:00+00:00,2012
mean,0,2024-07-30 12:00:00+00:00,2015
mean,0,2024-07-30 18:00:00+00:00,2039
mean,0,2024-07-31 00:00:00+00:00,2071
mean,0,2024-07-31 06:00:00+00:00,2091
mean,0,2024-07-31 12:00:00+00:00,2238
mean,0,2024-07-31 18:00:00+00:00,2141
mean,0,2024-08-01 00:00:00+00:00,2151
mean,0,2024-08-01 06:00:00+00:00,2179
mean,0,2024-08-01 12:00:00+00:00,2196
mean,0,2024-08-01 18:00:00+00:00,2331
mean,0,2024-08-02 00:00:00+00:00,2453
mean,0,2024-08-02 06:00:00+00:00,2359
mean,0,2024-08-02 12:00:00+00:00,2358
mean,0,2024-08-02 18:00:00+00:00,2397
mean,0,2024-08-03 00:00:00+00:00,2419
mean,0,2024-08-03 06:00:00+00:00,2416
mean,0,2024-08-03 12:00:00+00:00,2475
mean,0,2024-08-03 18:00:00+00:00,2482
mean,0,2024-08-04 00:00:00+00:00,2583
mean,0,2024-08-04 06:00:00+00:00,2535
mean,0,2024-08-04 12:00:00+00:00,2586
mean,0,2024-08-04 18:00:00+00:00,2557
mean,0,2024-08-05 00:00:00+00:00,2559
mean,0,2024-08-05 06:00:00+00:00,2601
mean,0,2024-08-05 12:00:00+00:00,2559
mean,0,2024-08-05 18:00:00+00:00,2622
mean,0,2024-08-06 00:00:00+00:00,2620
mean,0,2024-08-06 06:00:00+00:00,2627
mean,0,2024-08-06 12:00:00+00:00,2070
mean,0,2024-08-06 18:00:00+00:00,2018
mean,0,2024-08-07 00:00:00+00:00,2064
mean,0,2024-08-07 06:00:00+00:00,2074
mean,0,2024-08-07 12:00:00+00:00,2112
mean,0,2024-08-07 18:00:00+00:00,2137
mean,0,2024-08-08 00:00:00+00:00,2159
mean,0,2024-08-08 06:00:00+00:00,2177
mean,0,2024-08-08 12:00:00+00:00,2210
mean,0,2024-08-08 18:00:00+00:00,2257
